Área,Dia da Semana,Data da Ocorência,Logradouro,Endereço,Bairro,Cidade,Hora (valor inteiro),Hora da Chamada,Tipo de Ocorrência
1º BPM,sexta-feira,01/01/21,"QUINTO BOCAIUVA   , PONTA DA TERRA , MACEIÓ",QUINTO BOCAIUVA  ,PONTA DA TERRA,MACEIÓ,2,2:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA COMENDADOR LUIZ CALHEIROS   , LEVADA , MACEIÓ",RUA COMENDADOR LUIZ CALHEIROS  ,LEVADA,MACEIÓ,2,2:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"QUADRA 6   , VERGEL DO LAGO , MACEIÓ",QUADRA 6  ,VERGEL DO LAGO,MACEIÓ,2,2:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA ARTUR CHARLES DORVILLE  , JATIÚCA , MACEIÓ",RUA ARTUR CHARLES DORVILLE ,JATIÚCA,MACEIÓ,2,2:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DA ALEGRIA  , CENTRO , MACEIÓ",RUA DA ALEGRIA ,CENTRO,MACEIÓ,3,3:09,ROUBO
1º BPM,sexta-feira,01/01/21,"QD3 20 , VERGEL DO LAGO , MACEIÓ",QD3 20,VERGEL DO LAGO,MACEIÓ,3,3:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA ALVARO OTACÍLIO 2741 , PONTA VERDE , MACEIÓ",AVENIDA ALVARO OTACÍLIO 2741,PONTA VERDE,MACEIÓ,3,3:17,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA EDGAR GOES MONTEIRO  , PRADO , MACEIÓ",RUA EDGAR GOES MONTEIRO ,PRADO,MACEIÓ,3,3:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA ABDON ARROXELAS  , PONTA VERDE , MACEIÓ",RUA ABDON ARROXELAS ,PONTA VERDE,MACEIÓ,3,3:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"XX  , JATIÚCA , MACEIÓ",XX ,JATIÚCA,MACEIÓ,3,3:24,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA PROFESSOR LOUREIRO  , PONTA GROSSA , MACEIÓ",AVENIDA PROFESSOR LOUREIRO ,PONTA GROSSA,MACEIÓ,3,3:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DOM ANTONIO BRANDÃO  , FAROL , MACEIÓ",RUA DOM ANTONIO BRANDÃO ,FAROL,MACEIÓ,3,3:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA ALÍBIO BARBOSA DA SILVA  313 , PONTAL DA BARRA , MACEIÓ",AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTAL DA BARRA,MACEIÓ,3,3:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA C  , VERGEL DO LAGO , MACEIÓ",AVENIDA C ,VERGEL DO LAGO,MACEIÓ,3,3:39,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA PROFESSOR SANDOVAL ARROXELA  , PONTA VERDE , MACEIÓ",RUA PROFESSOR SANDOVAL ARROXELA ,PONTA VERDE,MACEIÓ,3,3:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"QUADRA 36  , VERGEL DO LAGO , MACEIÓ",QUADRA 36 ,VERGEL DO LAGO,MACEIÓ,3,3:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA JOSE CALVACANTE   , VERGEL DO LAGO , MACEIÓ",RUA JOSE CALVACANTE  ,VERGEL DO LAGO,MACEIÓ,4,4:02,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA ARTHUR CHARLES DORVILIA  , JATIÚCA , MACEIÓ",RUA ARTHUR CHARLES DORVILIA ,JATIÚCA,MACEIÓ,4,4:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"XX  , MANGABEIRAS , MACEIÓ",XX ,MANGABEIRAS,MACEIÓ,4,4:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA EDGAR GOES MONTEIRO  , PRADO , MACEIÓ",RUA EDGAR GOES MONTEIRO ,PRADO,MACEIÓ,4,4:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA CHARLES DORVILLE 76 , JATIÚCA , MACEIÓ",RUA CHARLES DORVILLE 76,JATIÚCA,MACEIÓ,4,4:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA XAVIER DE BRITO  , PRADO , MACEIÓ",RUA XAVIER DE BRITO ,PRADO,MACEIÓ,4,4:20,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA ALVARO OTACÍLIO   , PONTA VERDE , MACEIÓ",RUA ALVARO OTACÍLIO  ,PONTA VERDE,MACEIÓ,4,4:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA CARLOS GOMES DA SILVA  , JATIÚCA , MACEIÓ",RUA CARLOS GOMES DA SILVA ,JATIÚCA,MACEIÓ,4,4:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA ALÍBIO BARBOSA DA SILVA  313 , PONTA DA TERRA , MACEIÓ",AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTA DA TERRA,MACEIÓ,4,4:42,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA CHAVIER DE BRITO  , PRADO , MACEIÓ",RUA CHAVIER DE BRITO ,PRADO,MACEIÓ,4,4:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA VITORIA  241 , JARAGUÁ , MACEIÓ",RUA VITORIA  241,JARAGUÁ,MACEIÓ,4,4:49,VIOLÊNCIA CONTRA A MULHER
1º BPM,sexta-feira,01/01/21,"AVENIDA PROFESSOR LOUREIRO  , PONTA GROSSA , MACEIÓ",AVENIDA PROFESSOR LOUREIRO ,PONTA GROSSA,MACEIÓ,4,4:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA MARIO DE GOSMÃO  , PONTA VERDE , MACEIÓ",RUA MARIO DE GOSMÃO ,PONTA VERDE,MACEIÓ,4,4:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DR. BALTAZAR DE MENDONÇA  , PONTA GROSSA , MACEIÓ",RUA DR. BALTAZAR DE MENDONÇA ,PONTA GROSSA,MACEIÓ,4,4:57,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AV. ALVARO OTACILIO  , PONTA VERDE , MACEIÓ",AV. ALVARO OTACILIO ,PONTA VERDE,MACEIÓ,4,4:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SILVO CALDIOS VIANA  , PONTA VERDE , MACEIÓ",RUA SILVO CALDIOS VIANA ,PONTA VERDE,MACEIÓ,5,5:02,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA EDGAR GOES MONTEIRO  , PRADO , MACEIÓ",RUA EDGAR GOES MONTEIRO ,PRADO,MACEIÓ,5,5:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SILVIO CARLOS VIANA  , PONTA VERDE , MACEIÓ",RUA SILVIO CARLOS VIANA ,PONTA VERDE,MACEIÓ,5,5:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SILVIO CARLOS VIANA   , PONTA VERDE , MACEIÓ",RUA SILVIO CARLOS VIANA  ,PONTA VERDE,MACEIÓ,5,5:16,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA FIRMINO VASCONCELOS   , PONTA DA TERRA , MACEIÓ",RUA FIRMINO VASCONCELOS  ,PONTA DA TERRA,MACEIÓ,5,5:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"SANDROVAL ARROXELAS   , PONTA VERDE , MACEIÓ",SANDROVAL ARROXELAS  ,PONTA VERDE,MACEIÓ,5,5:29,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AVENIDA ALÍBIO BARBOSA DA SILVA  313 , PONTAL DA BARRA , MACEIÓ",AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTAL DA BARRA,MACEIÓ,5,5:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AV. DOCTOR ANTONIO GOUVEIA  , PAJUÇARA , MACEIÓ",AV. DOCTOR ANTONIO GOUVEIA ,PAJUÇARA,MACEIÓ,5,5:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA MONTE CASTELO  , VERGEL DO LAGO , MACEIÓ",RUA MONTE CASTELO ,VERGEL DO LAGO,MACEIÓ,5,5:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SA E ALBUQUERQUE  604 , JARAGUÁ , MACEIÓ",RUA SA E ALBUQUERQUE  604,JARAGUÁ,MACEIÓ,5,5:39,VIOLÊNCIA CONTRA A MULHER
1º BPM,sexta-feira,01/01/21,"RUA XAVIER DE BRITO   , PRADO , MACEIÓ",RUA XAVIER DE BRITO  ,PRADO,MACEIÓ,5,5:44,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA CORREDOR VERA ARRUDA  , JATIÚCA , MACEIÓ",RUA CORREDOR VERA ARRUDA ,JATIÚCA,MACEIÓ,5,5:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"CONJUNTO DENISSON VILELA   , TRAPICHE DA BARRA , MACEIÓ",CONJUNTO DENISSON VILELA  ,TRAPICHE DA BARRA,MACEIÓ,5,5:54,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA BALTAZAR DE MENDONÇA  , PONTA GROSSA , MACEIÓ",RUA BALTAZAR DE MENDONÇA ,PONTA GROSSA,MACEIÓ,5,5:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"TRAV. BOM SUCESSO  , VERGEL DO LAGO , MACEIÓ",TRAV. BOM SUCESSO ,VERGEL DO LAGO,MACEIÓ,6,6:01,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"ANGELO MARTINS   , PAJUÇARA , MACEIÓ",ANGELO MARTINS  ,PAJUÇARA,MACEIÓ,6,6:01,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DR. DJALMA COSTA  , VERGEL DO LAGO , MACEIÓ",RUA DR. DJALMA COSTA ,VERGEL DO LAGO,MACEIÓ,6,6:14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SENADOR FIRMINO VASCONCELOS   , PAJUÇARA , MACEIÓ",RUA SENADOR FIRMINO VASCONCELOS  ,PAJUÇARA,MACEIÓ,6,6:17,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AVENIDA DOUTOR ANTÔNIO GOLVEIA N° 77  , PAJUÇARA , MACEIÓ",AVENIDA DOUTOR ANTÔNIO GOLVEIA N° 77 ,PAJUÇARA,MACEIÓ,6,6:25,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA CICERO TORRES  , LEVADA , MACEIÓ",RUA CICERO TORRES ,LEVADA,MACEIÓ,6,6:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"CONJUNTO LENITA VILELA. QUDRA A  , TRAPICHE DA BARRA , MACEIÓ",CONJUNTO LENITA VILELA. QUDRA A ,TRAPICHE DA BARRA,MACEIÓ,6,6:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA JANGADEIROS ALAGOANOS  865 , PAJUÇARA , MACEIÓ",RUA JANGADEIROS ALAGOANOS  865,PAJUÇARA,MACEIÓ,6,6:59,LESÃO CORPORAL
1º BPM,sexta-feira,01/01/21,"AV. PRETESTATO FERREIRA MACHADO  , JATIÚCA , MACEIÓ",AV. PRETESTATO FERREIRA MACHADO ,JATIÚCA,MACEIÓ,7,7:02,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA JANGADEIRO ALAGOANOS  865 , PAJUÇARA , MACEIÓ",RUA JANGADEIRO ALAGOANOS  865,PAJUÇARA,MACEIÓ,7,7:23,VIOLÊNCIA CONTRA A MULHER
1º BPM,sexta-feira,01/01/21,"RUA ANTONIO GOLVEIA   , PAJUÇARA , MACEIÓ",RUA ANTONIO GOLVEIA  ,PAJUÇARA,MACEIÓ,7,7:45,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA SÃO LUIS  ao lado 260 , PONTA GROSSA , MACEIÓ",RUA SÃO LUIS  ao lado 260,PONTA GROSSA,MACEIÓ,7,7:46,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA SAO JOAO 750 , VERGEL DO LAGO , MACEIÓ",RUA SAO JOAO 750,VERGEL DO LAGO,MACEIÓ,7,7:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA PAULO ANANIAS  , JACINTINHO , MACEIÓ",RUA PAULO ANANIAS ,JACINTINHO,MACEIÓ,7,7:55,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"XXXXX  , PONTAL DA BARRA , MACEIÓ",XXXXX ,PONTAL DA BARRA,MACEIÓ,8,8:03,ROUBO
1º BPM,sexta-feira,01/01/21,"RUA ALIPIO BARBOSA 313 , PONTAL DA BARRA , MACEIÓ",RUA ALIPIO BARBOSA 313,PONTAL DA BARRA,MACEIÓ,8,8:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SÃO FRANCISCO  , JATIÚCA , MACEIÓ",RUA SÃO FRANCISCO ,JATIÚCA,MACEIÓ,8,8:09,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"QD 8 RUA L   , VERGEL DO LAGO , MACEIÓ",QD 8 RUA L  ,VERGEL DO LAGO,MACEIÓ,8,8:11,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"CONJ. LENITA VILELA. QUADRA A  , TRAPICHE DA BARRA , MACEIÓ",CONJ. LENITA VILELA. QUADRA A ,TRAPICHE DA BARRA,MACEIÓ,8,8:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"QD 09  , VERGEL DO LAGO , MACEIÓ",QD 09 ,VERGEL DO LAGO,MACEIÓ,8,8:24,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA DR BALTAZAR DE MENDONÇA/CONJ. VENEZA  , PONTA GROSSA , MACEIÓ",RUA DR BALTAZAR DE MENDONÇA/CONJ. VENEZA ,PONTA GROSSA,MACEIÓ,8,8:29,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AVENIDA ALIPIO BARBOSA DA SILVA  313 , PONTAL DA BARRA , MACEIÓ",AVENIDA ALIPIO BARBOSA DA SILVA  313,PONTAL DA BARRA,MACEIÓ,8,8:30,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA DA PALMA 17 , VERGEL DO LAGO , MACEIÓ",RUA DA PALMA 17,VERGEL DO LAGO,MACEIÓ,8,8:34,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AVENIDA COMENDADOR LEÃO   , POÇO , MACEIÓ",AVENIDA COMENDADOR LEÃO  ,POÇO,MACEIÓ,8,8:35,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA SENADOR TEOTONIO VILELA   , POÇO , MACEIÓ",RUA SENADOR TEOTONIO VILELA  ,POÇO,MACEIÓ,8,8:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA ARAÚJO BIVAR 370 , PAJUÇARA , MACEIÓ",RUA ARAÚJO BIVAR 370,PAJUÇARA,MACEIÓ,8,8:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA ARAUJO BIVAR  , PAJUÇARA , MACEIÓ",RUA ARAUJO BIVAR ,PAJUÇARA,MACEIÓ,9,9:09,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"VILA ALMEIDA   , VERGEL DO LAGO , MACEIÓ",VILA ALMEIDA  ,VERGEL DO LAGO,MACEIÓ,9,9:16,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA CICERO TORRES  , LEVADA , MACEIÓ",RUA CICERO TORRES ,LEVADA,MACEIÓ,9,9:29,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AV. DR ANTONIO GOUVEIA  , PAJUÇARA , MACEIÓ",AV. DR ANTONIO GOUVEIA ,PAJUÇARA,MACEIÓ,9,9:45,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"QD 9 RUA L   , VERGEL DO LAGO , MACEIÓ",QD 9 RUA L  ,VERGEL DO LAGO,MACEIÓ,9,9:50,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA SILVIO VIANA  , PONTA VERDE , MACEIÓ",RUA SILVIO VIANA ,PONTA VERDE,MACEIÓ,9,9:55,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AV. SILVIO VIANA (AV. ROBERT KENNEDY)  , PONTA VERDE , MACEIÓ",AV. SILVIO VIANA (AV. ROBERT KENNEDY) ,PONTA VERDE,MACEIÓ,10,10:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"TRAVESSA CARLOS DE MIRANDA. BLOCO 6 103 , POÇO , MACEIÓ",TRAVESSA CARLOS DE MIRANDA. BLOCO 6 103,POÇO,MACEIÓ,10,10:08,AMEAÇA
1º BPM,sexta-feira,01/01/21,"QD 3   , VERGEL DO LAGO , MACEIÓ",QD 3  ,VERGEL DO LAGO,MACEIÓ,10,10:31,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"RUA DA PAZ  , TRAPICHE DA BARRA , MACEIÓ",RUA DA PAZ ,TRAPICHE DA BARRA,MACEIÓ,10,10:35,ROUBO
1º BPM,sexta-feira,01/01/21,"RUA CORONEL CAVALCANTE NIS   , MANGABEIRAS , MACEIÓ",RUA CORONEL CAVALCANTE NIS  ,MANGABEIRAS,MACEIÓ,10,10:41,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,sexta-feira,01/01/21,"AV DONO CONSTANCIA.  , JATIÚCA , MACEIÓ",AV DONO CONSTANCIA. ,JATIÚCA,MACEIÓ,10,10:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA JOSÉ MARQUÊS RIBEIRO   , TRAPICHE DA BARRA , MACEIÓ",RUA JOSÉ MARQUÊS RIBEIRO  ,TRAPICHE DA BARRA,MACEIÓ,10,10:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"LADEIRA GERAL GERALDO MELO   , POÇO , MACEIÓ",LADEIRA GERAL GERALDO MELO  ,POÇO,MACEIÓ,11,11:34,AMEAÇA
1º BPM,sexta-feira,01/01/21,"RUA SÃO LUIZ  , PONTA GROSSA , MACEIÓ",RUA SÃO LUIZ ,PONTA GROSSA,MACEIÓ,11,11:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AV SANDOVAL ARROCHELA  , PONTA VERDE , MACEIÓ",AV SANDOVAL ARROCHELA ,PONTA VERDE,MACEIÓ,12,12:07,AMEAÇA
1º BPM,sexta-feira,01/01/21,"RUA MARECHAL ALVARO ALVIM CAMARA 801 , JATIÚCA , MACEIÓ",RUA MARECHAL ALVARO ALVIM CAMARA 801,JATIÚCA,MACEIÓ,12,12:27,LESÃO CORPORAL
1º BPM,sexta-feira,01/01/21,"RUA JARDIM ESPERANCA  , PONTA GROSSA , MACEIÓ",RUA JARDIM ESPERANCA ,PONTA GROSSA,MACEIÓ,12,12:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA ANTONIO AGUIAR   , PONTA DA TERRA , MACEIÓ",RUA ANTONIO AGUIAR  ,PONTA DA TERRA,MACEIÓ,12,12:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA RUI PALMEIRA BLOCO: A  , PONTA DA TERRA , MACEIÓ",RUA RUI PALMEIRA BLOCO: A ,PONTA DA TERRA,MACEIÓ,12,12:47,VIOLÊNCIA CONTRA A MULHER
1º BPM,sexta-feira,01/01/21,"RUA TEOTONIO VILELA   , POÇO , MACEIÓ",RUA TEOTONIO VILELA  ,POÇO,MACEIÓ,12,12:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DOTOR JOSÉ AFONSO DE MELO  , JATIÚCA , MACEIÓ",RUA DOTOR JOSÉ AFONSO DE MELO ,JATIÚCA,MACEIÓ,13,13:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DOUTOR BIZERA DE MENEZES  , POÇO , MACEIÓ",RUA DOUTOR BIZERA DE MENEZES ,POÇO,MACEIÓ,13,13:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA LUCENA MARANHAO  300 , VERGEL DO LAGO , MACEIÓ",RUA LUCENA MARANHAO  300,VERGEL DO LAGO,MACEIÓ,13,13:28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DOUTOR JOSÉ AFONSO DE MELO  , JATIÚCA , MACEIÓ",RUA DOUTOR JOSÉ AFONSO DE MELO ,JATIÚCA,MACEIÓ,13,13:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
