,Data da Ocorência,Endereço,Bairro,Hora da Chamada,Tipo de Ocorrência,Localização
16,01/01/21,RUA ARTUR CHARLES DORVILLE ,JATIÚCA,2:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6517609, -35.7147536"
17,01/01/21,RUA DA ALEGRIA ,CENTRO,3:09,ROUBO,"41.013454, -8.5653474"
18,01/01/21,QD3 20,VERGEL DO LAGO,3:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-1.3250293, -48.4311347"
19,01/01/21,AVENIDA ALVARO OTACÍLIO 2741,PONTA VERDE,3:17,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6630192, -35.6961229"
20,01/01/21,RUA EDGAR GOES MONTEIRO ,PRADO,3:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.5652739, -35.7838626"
21,01/01/21,RUA ABDON ARROXELAS ,PONTA VERDE,3:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6558209, -35.7039475"
22,01/01/21,XX ,JATIÚCA,3:24,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"61.4991213, 23.7912524"
23,01/01/21,AVENIDA PROFESSOR LOUREIRO ,PONTA GROSSA,3:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
24,01/01/21,RUA DOM ANTONIO BRANDÃO ,FAROL,3:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.1178369, -37.7305406"
25,01/01/21,AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTAL DA BARRA,3:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
26,01/01/21,AVENIDA C ,VERGEL DO LAGO,3:39,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-12.0493223, -77.1092426"
27,01/01/21,RUA PROFESSOR SANDOVAL ARROXELA ,PONTA VERDE,3:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
28,01/01/21,QUADRA 36 ,VERGEL DO LAGO,3:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-1.3183355, -48.4355706"
29,01/01/21,RUA JOSE CALVACANTE  ,VERGEL DO LAGO,4:02,PERTURBAÇÃO DA TRANQUILIDADE,"-7.856051, -35.767657"
30,01/01/21,RUA ARTHUR CHARLES DORVILIA ,JATIÚCA,4:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
31,01/01/21,XX ,MANGABEIRAS,4:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"61.4991213, 23.7912524"
32,01/01/21,RUA EDGAR GOES MONTEIRO ,PRADO,4:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.5652739, -35.7838626"
33,01/01/21,RUA CHARLES DORVILLE 76,JATIÚCA,4:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6517609, -35.7147536"
34,01/01/21,RUA XAVIER DE BRITO ,PRADO,4:20,PERTURBAÇÃO DA TRANQUILIDADE,"-8.0225746, -34.8889301"
35,01/01/21,RUA ALVARO OTACÍLIO  ,PONTA VERDE,4:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.9010102, -50.759117835549716"
36,01/01/21,RUA CARLOS GOMES DA SILVA ,JATIÚCA,4:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.7164902, -47.3244627"
37,01/01/21,AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTA DA TERRA,4:42,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
38,01/01/21,RUA CHAVIER DE BRITO ,PRADO,4:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
39,01/01/21,RUA VITORIA  241,JARAGUÁ,4:49,VIOLÊNCIA CONTRA A MULHER,"-19.8265929, -43.8888114"
40,01/01/21,AVENIDA PROFESSOR LOUREIRO ,PONTA GROSSA,4:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
41,01/01/21,RUA MARIO DE GOSMÃO ,PONTA VERDE,4:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
42,01/01/21,RUA DR. BALTAZAR DE MENDONÇA ,PONTA GROSSA,4:57,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6619024, -35.7573404"
43,01/01/21,AV. ALVARO OTACILIO ,PONTA VERDE,4:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6521757, -35.699021"
44,01/01/21,RUA SILVO CALDIOS VIANA ,PONTA VERDE,5:02,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
45,01/01/21,RUA EDGAR GOES MONTEIRO ,PRADO,5:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.5652739, -35.7838626"
46,01/01/21,RUA SILVIO CARLOS VIANA ,PONTA VERDE,5:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
47,01/01/21,RUA SILVIO CARLOS VIANA  ,PONTA VERDE,5:16,PERTURBAÇÃO DA TRANQUILIDADE,
48,01/01/21,RUA FIRMINO VASCONCELOS  ,PONTA DA TERRA,5:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6647487, -35.7134688"
49,01/01/21,SANDROVAL ARROXELAS  ,PONTA VERDE,5:29,PERTURBAÇÃO DA TRANQUILIDADE,
50,01/01/21,AVENIDA ALÍBIO BARBOSA DA SILVA  313,PONTAL DA BARRA,5:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
51,01/01/21,AV. DOCTOR ANTONIO GOUVEIA ,PAJUÇARA,5:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
52,01/01/21,RUA MONTE CASTELO ,VERGEL DO LAGO,5:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-10.9009222, -37.0630337"
53,01/01/21,RUA SA E ALBUQUERQUE  604,JARAGUÁ,5:39,VIOLÊNCIA CONTRA A MULHER,"-9.6713568, -35.7243563"
54,01/01/21,RUA XAVIER DE BRITO  ,PRADO,5:44,PERTURBAÇÃO DA TRANQUILIDADE,"-8.0225746, -34.8889301"
55,01/01/21,RUA CORREDOR VERA ARRUDA ,JATIÚCA,5:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
56,01/01/21,CONJUNTO DENISSON VILELA  ,TRAPICHE DA BARRA,5:54,PERTURBAÇÃO DA TRANQUILIDADE,
57,01/01/21,RUA BALTAZAR DE MENDONÇA ,PONTA GROSSA,5:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6619024, -35.7573404"
58,01/01/21,TRAV. BOM SUCESSO ,VERGEL DO LAGO,6:01,PERTURBAÇÃO DA TRANQUILIDADE,"-8.1017448, -34.9788225"
59,01/01/21,ANGELO MARTINS  ,PAJUÇARA,6:01,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-26.48992085, -49.12025029737738"
60,01/01/21,RUA DR. DJALMA COSTA ,VERGEL DO LAGO,6:14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6594814, -35.7588551"
61,01/01/21,RUA SENADOR FIRMINO VASCONCELOS  ,PAJUÇARA,6:17,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6595487, -35.7105226"
62,01/01/21,AVENIDA DOUTOR ANTÔNIO GOLVEIA N° 77 ,PAJUÇARA,6:25,PERTURBAÇÃO DA TRANQUILIDADE,
63,01/01/21,RUA CICERO TORRES ,LEVADA,6:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6583515, -35.7480636"
64,01/01/21,CONJUNTO LENITA VILELA. QUDRA A ,TRAPICHE DA BARRA,6:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
65,01/01/21,RUA JANGADEIROS ALAGOANOS  865,PAJUÇARA,6:59,LESÃO CORPORAL,"-9.6703914, -35.7167711"
66,01/01/21,AV. PRETESTATO FERREIRA MACHADO ,JATIÚCA,7:02,PERTURBAÇÃO DA TRANQUILIDADE,"-9.6503087, -35.7100936"
67,01/01/21,RUA JANGADEIRO ALAGOANOS  865,PAJUÇARA,7:23,VIOLÊNCIA CONTRA A MULHER,
68,01/01/21,RUA ANTONIO GOLVEIA  ,PAJUÇARA,7:45,PERTURBAÇÃO DA TRANQUILIDADE,"-22.8301132, -47.0971283"
69,01/01/21,RUA SÃO LUIS  ao lado 260,PONTA GROSSA,7:46,PERTURBAÇÃO DA TRANQUILIDADE,
70,01/01/21,RUA SAO JOAO 750,VERGEL DO LAGO,7:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-2.4543282, -44.1411625"
71,01/01/21,RUA PAULO ANANIAS ,JACINTINHO,7:55,PERTURBAÇÃO DA TRANQUILIDADE,"-9.6367424, -35.7171747"
72,01/01/21,XXXXX ,PONTAL DA BARRA,8:03,ROUBO,"36.4071381, 44.1238979"
73,01/01/21,RUA ALIPIO BARBOSA 313,PONTAL DA BARRA,8:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.6235026, -39.8229209"
74,01/01/21,RUA SÃO FRANCISCO ,JATIÚCA,8:09,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.0099556, -45.5832326"
75,01/01/21,QD 8 RUA L  ,VERGEL DO LAGO,8:11,PERTURBAÇÃO DA TRANQUILIDADE,"-15.8983053, -47.7981163"
76,01/01/21,CONJ. LENITA VILELA. QUADRA A ,TRAPICHE DA BARRA,8:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
77,01/01/21,QD 09 ,VERGEL DO LAGO,8:24,PERTURBAÇÃO DA TRANQUILIDADE,"-16.6485297, -49.32923724477281"
78,01/01/21,RUA DR BALTAZAR DE MENDONÇA/CONJ. VENEZA ,PONTA GROSSA,8:29,PERTURBAÇÃO DA TRANQUILIDADE,
79,01/01/21,AVENIDA ALIPIO BARBOSA DA SILVA  313,PONTAL DA BARRA,8:30,PERTURBAÇÃO DA TRANQUILIDADE,"-9.6893887, -35.7735249"
80,01/01/21,RUA DA PALMA 17,VERGEL DO LAGO,8:34,PERTURBAÇÃO DA TRANQUILIDADE,"38.0157718, -7.8677867"
81,01/01/21,AVENIDA COMENDADOR LEÃO  ,POÇO,8:35,PERTURBAÇÃO DA TRANQUILIDADE,"-9.657006, -35.7231456"
82,01/01/21,RUA SENADOR TEOTONIO VILELA  ,POÇO,8:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-7.2061855, -35.9081443"
83,01/01/21,RUA ARAÚJO BIVAR 370,PAJUÇARA,8:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6663592, -35.7178532"
84,01/01/21,RUA ARAUJO BIVAR ,PAJUÇARA,9:09,PERTURBAÇÃO DA TRANQUILIDADE,"-9.6663592, -35.7178532"
85,01/01/21,VILA ALMEIDA  ,VERGEL DO LAGO,9:16,PERTURBAÇÃO DA TRANQUILIDADE,"-23.4733718, -47.4700618228419"
86,01/01/21,RUA CICERO TORRES ,LEVADA,9:29,PERTURBAÇÃO DA TRANQUILIDADE,"-9.6583515, -35.7480636"
87,01/01/21,AV. DR ANTONIO GOUVEIA ,PAJUÇARA,9:45,PERTURBAÇÃO DA TRANQUILIDADE,"-9.665131, -35.7101931"
88,01/01/21,QD 9 RUA L  ,VERGEL DO LAGO,9:50,PERTURBAÇÃO DA TRANQUILIDADE,"-15.8983053, -47.7981163"
89,01/01/21,RUA SILVIO VIANA ,PONTA VERDE,9:55,PERTURBAÇÃO DA TRANQUILIDADE,"-14.499541950000001, -42.22429375511504"
90,01/01/21,AV. SILVIO VIANA (AV. ROBERT KENNEDY) ,PONTA VERDE,10:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
91,01/01/21,TRAVESSA CARLOS DE MIRANDA. BLOCO 6 103,POÇO,10:08,AMEAÇA,
92,01/01/21,QD 3  ,VERGEL DO LAGO,10:31,PERTURBAÇÃO DA TRANQUILIDADE,"-16.70104825, -49.412879072239605"
93,01/01/21,RUA DA PAZ ,TRAPICHE DA BARRA,10:35,ROUBO,"39.7314646, -8.5931215"
94,01/01/21,RUA CORONEL CAVALCANTE NIS  ,MANGABEIRAS,10:41,PERTURBAÇÃO DA TRANQUILIDADE,
95,01/01/21,AV DONO CONSTANCIA. ,JATIÚCA,10:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
96,01/01/21,RUA JOSÉ MARQUÊS RIBEIRO  ,TRAPICHE DA BARRA,10:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.8844557, -46.4133937"
97,01/01/21,LADEIRA GERAL GERALDO MELO  ,POÇO,11:34,AMEAÇA,
98,01/01/21,RUA SÃO LUIZ ,PONTA GROSSA,11:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-24.0400481, -52.6111709"
99,01/01/21,AV SANDOVAL ARROCHELA ,PONTA VERDE,12:07,AMEAÇA,
100,01/01/21,RUA MARECHAL ALVARO ALVIM CAMARA 801,JATIÚCA,12:27,LESÃO CORPORAL,"-9.6471448, -35.7030161"
101,01/01/21,RUA JARDIM ESPERANCA ,PONTA GROSSA,12:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.5141084, -48.7652143"
102,01/01/21,RUA ANTONIO AGUIAR  ,PONTA DA TERRA,12:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.0854576, -48.9065605"
103,01/01/21,RUA RUI PALMEIRA BLOCO: A ,PONTA DA TERRA,12:47,VIOLÊNCIA CONTRA A MULHER,
104,01/01/21,RUA TEOTONIO VILELA  ,POÇO,12:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-5.493823, -47.4810011"
105,01/01/21,RUA DOTOR JOSÉ AFONSO DE MELO ,JATIÚCA,13:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
106,01/01/21,RUA DOUTOR BIZERA DE MENEZES ,POÇO,13:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
107,01/01/21,RUA LUCENA MARANHAO  300,VERGEL DO LAGO,13:28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-5.5018747, -47.480187"
108,01/01/21,RUA DOUTOR JOSÉ AFONSO DE MELO ,JATIÚCA,13:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6479867, -35.7053469"
109,01/01/21,RUA  JARDIM BOA ESPERANÇA ,PONTA GROSSA,13:37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6559343, -35.7527509"
110,01/01/21,RUA TEOTONIO VILELA ,POÇO,13:37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-5.493823, -47.4810011"
111,01/01/21,QUADRA 15  ,VERGEL DO LAGO,13:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-15.9130681, -47.76137744368002"
112,01/01/21,RUA XAVIER DE BRITO  ,PRADO,13:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0225746, -34.8889301"
113,01/01/21,RUA SÃO JOSÉ ,PONTA GROSSA,13:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-13.0282472, -39.5971312"
114,01/01/21,RUA XAVIER DE BRITO  ,PRADO,14:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0225746, -34.8889301"
115,01/01/21,RUA POETA LORIVAL PASSOS ,POÇO,14:26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
116,01/01/21,RUA VEREADOR ANTONIO CAVALCANTE LINS ,MANGABEIRAS,14:27,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
117,01/01/21,RUA CORONEL SENA MARANHÃO 300,VERGEL DO LAGO,14:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
118,01/01/21,QD.: D2 ,TRAPICHE DA BARRA,14:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-2.8942012, -41.70734150654512"
119,01/01/21,RUA SAO FRANCISCO DE ASSIS ,JATIÚCA,14:50,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-13.8423211, -40.0708643"
120,01/01/21,RUA PADRE SILVESTRE VEDREGOOR ,TRAPICHE DA BARRA,14:53,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
121,01/01/21,RUA MIGUEL OMENA 191,PRADO,14:55,ROUBO,"-9.0581096, -35.3963566"
122,01/01/21,RUA ANTONIO AGUIAR ,PONTA DA TERRA,15:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.0854576, -48.9065605"
123,01/01/21,RUA TIRADENTES ,PONTA GROSSA,15:05,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-17.0615002, -40.5764097"
124,01/01/21,RUA SÃO JOSÉ ,JATIÚCA,15:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-13.0282472, -39.5971312"
125,01/01/21,Q;D2  ,TRAPICHE DA BARRA,15:17,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-2.8942012, -41.70734150654512"
126,01/01/21,RUA BALBINO LOPES ,VERGEL DO LAGO,15:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.65449, -35.7532532"
127,01/01/21,RUA XAVIER DE BRITO  ,PRADO,15:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0225746, -34.8889301"
128,01/01/21,RUA GETULIO CORREIA LIMA 154,VERGEL DO LAGO,15:37,VIOLÊNCIA CONTRA A MULHER,"-9.6537226, -35.7568046"
129,01/01/21,AV. C ,VERGEL DO LAGO,15:45,AMEAÇA,"40.7307609, -73.9740854"
130,01/01/21,QUADRA D2/ MULTIRÃO 3 ,TRAPICHE DA BARRA,15:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
131,01/01/21,RUA DULCE DANTAS LOUREIRO 71,JATIÚCA,16:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6547342, -35.7190913"
132,01/01/21,RUA JOAO ULISSES MARQUES ,PRADO,16:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.672195, -35.7492897"
133,01/01/21,RUA DULCE DANTAS LOUREIRO ,POÇO,16:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6547342, -35.7190913"
134,01/01/21,SITIO TRAVESSADA ,ZONA RURAL,16:15,LESÃO CORPORAL,
135,01/01/21,RUA DOMINGOS LORDSLEEN 320,PONTA DA TERRA,16:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6650353, -35.7164663"
136,01/01/21,CONJ. JOAQUIM LEÃO / RUA AUREA CARVALHO  ,TRAPICHE DA BARRA,16:26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
137,01/01/21,RUA GETULIO CORREIA DE LIMA ,VERGEL DO LAGO,16:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
138,01/01/21,RUA SANTA MARIA ,VERGEL DO LAGO,16:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.9815035, -67.8349904"
139,01/01/21,QD D 02 ,TRAPICHE DA BARRA,16:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-1.3550405, -48.4459185"
140,01/01/21,XXXXXXXXXXX ,VERGEL DO LAGO,16:40,LESÃO CORPORAL,
141,01/01/21,RUA AUREA CARVALHO. ,VERGEL DO LAGO,16:41,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.2453714, -54.8075475"
142,01/01/21,RUA CLETO MARQUES LUZ ,LEVADA,16:58,DISPARO DE ARMA DE FOGO,"-9.6556813, -35.7439475"
143,01/01/21,RUA ALMITO DE BARROS COUTINHO  ,JATIÚCA,17:13,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
144,01/01/21,RUA EUZIRA AGUIAR  ,PAJUÇARA,17:19,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
145,01/01/21,RUA AMILTON DE BARROS SOLTINHO ,JATIÚCA,17:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
146,01/01/21,AVENIDA DONA CONSTANÇA  ,JATIÚCA,17:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6487103, -35.7136527"
147,01/01/21,RUA ANTÔNIO AGUIAR ,PONTA DA TERRA,17:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.0854576, -48.9065605"
148,01/01/21,RUA DOTOR BEZERRA DE MENEZES ,POÇO,17:39,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
149,01/01/21,RUA AUREA CARVALHO ,VERGEL DO LAGO,17:43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.2453714, -54.8075475"
150,01/01/21,AV. ASSIS CHATEUBRIAND ,TRAPICHE DA BARRA,17:44,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-7.2682363, -35.8881658"
151,01/01/21,RUA ASSIS CHATEAUBRIAND ,TRAPICHE DA BARRA,17:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.4644395, -46.5330776"
152,01/01/21,RUA CANADA 40,JACINTINHO,17:49,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-26.3401015, -48.8306203"
153,01/01/21,AVENIDA 26 DE ABRIL ,POÇO,18:03,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.6102501, -51.025293"
154,01/01/21,AVENIDA  ASSIS CHATEAUBRIAND/ VILA DOS PESCADORES  ,TRAPICHE DA BARRA,18:05,PERTURBAÇÃO DA TRANQUILIDADE,
155,01/01/21,RUA AMILTON DE BARROS SOLTINHO ,JATIÚCA,18:09,PERTURBAÇÃO DA TRANQUILIDADE,
156,01/01/21,RUA D QD 1 ,TRAPICHE DA BARRA,18:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.53681995, -46.665658263221154"
157,01/01/21,RUA SÃO JOSÉ ,LEVADA,18:17,PERTURBAÇÃO DA TRANQUILIDADE,"-13.0282472, -39.5971312"
158,01/01/21,RUA ALCIDES RAMOS LIMA ,JACINTINHO,18:18,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6418676, -35.7216744"
159,01/01/21,RUA SÃO JOSE ,PONTA GROSSA,18:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.1302156, -35.2927034"
160,01/01/21,RUA MANOEL FORTES FONTAM 21,MANGABEIRAS,18:32,PERTURBAÇÃO DA TRANQUILIDADE,
161,01/01/21,RUA ANGELO MARTINS 16,JATIÚCA,18:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.2980089, -48.5723745"
162,01/01/21,RUA BOM SUCESSO ,VERGEL DO LAGO,18:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-25.4459211, -49.1072588"
163,01/01/21,RUA BOA VIAGEM 22,TRAPICHE DA BARRA,18:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-10.8973185, -37.0534489"
164,01/01/21,QUADRA 24 ,VERGEL DO LAGO,18:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-15.904722750000001, -47.754323422469106"
165,01/01/21,"RUA D, QUADRA: 2 ",TRAPICHE DA BARRA,18:35,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.536864700000002, -46.66577318824531"
166,01/01/21,"RUA AUREA CARVALHO, QD 21. ",VERGEL DO LAGO,18:44,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
167,01/01/21,RUA SÃO JOSÉ ,LEVADA,18:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-13.0282472, -39.5971312"
168,01/01/21,RUA DO CARTORIO  ,PONTA GROSSA,18:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.444725, -35.3474674"
169,01/01/21,RUA TIRADENTES ,PONTA GROSSA,18:58,PERTURBAÇÃO DA TRANQUILIDADE,"-17.0615002, -40.5764097"
